iter	Logloss
0	0.6692351139
1	0.6456258569
2	0.6239811441
3	0.6051692027
4	0.5877435166
5	0.5695342719
6	0.5522550819
7	0.5376207825
8	0.523337536
9	0.5123402465
10	0.5022734159
11	0.4918023011
12	0.4834295852
13	0.4748471862
14	0.4667448653
15	0.4601730066
16	0.4536697316
17	0.4476320228
18	0.440416688
19	0.4353716011
20	0.4291309287
21	0.4246414817
22	0.4206202734
23	0.4176094414
24	0.4108286074
25	0.4075330699
26	0.4030713749
27	0.4006378509
28	0.3955994546
29	0.3920423307
30	0.3884944049
31	0.3858497989
32	0.3833263421
33	0.380972802
34	0.3789084781
35	0.3776521913
36	0.37522818
37	0.3727084455
38	0.3711815645
39	0.3689723815
40	0.3667980845
41	0.3635802552
42	0.3616009435
43	0.3591518671
44	0.3573581783
45	0.354882088
46	0.3530433257
47	0.3521705309
48	0.3500394324
49	0.3497343537
50	0.3479646942
51	0.3463417472
52	0.343815599
53	0.343330568
54	0.3411272726
55	0.339633495
56	0.3380049365
57	0.3367454035
58	0.3354585508
59	0.3341592701
60	0.3332146388
61	0.3318583856
62	0.3309721112
63	0.3281692322
64	0.3273897211
65	0.3271934692
66	0.3257885134
67	0.3246031241
68	0.3237892651
69	0.3224051066
70	0.3221268106
71	0.3211778307
72	0.3202057404
73	0.3179080772
74	0.3168029949
75	0.3151872803
76	0.3145254518
77	0.3139520925
78	0.313691345
79	0.3125751101
80	0.3117934565
81	0.3112402335
82	0.3106289098
83	0.3094630847
84	0.3082435093
85	0.3075214423
86	0.3070739502
87	0.3065350722
88	0.3054753042
89	0.3052268019
90	0.3040792543
91	0.3034866433
92	0.3024549711
93	0.3006994499
94	0.2999544189
95	0.2991444072
96	0.2983207539
97	0.2975940181
98	0.2967395419
99	0.2960764714
100	0.295440019
101	0.2943583408
102	0.2941024226
103	0.2930573984
104	0.2926599755
105	0.2919858177
106	0.2906976252
107	0.2902895375
108	0.2896806475
109	0.2891009057
110	0.2882277579
111	0.2876185754
112	0.2865044511
113	0.2851822237
114	0.2847111234
115	0.2844861492
116	0.2839158007
117	0.2834007281
118	0.282300034
119	0.2812591249
120	0.2806589768
121	0.2794389066
122	0.2788976659
123	0.2781609401
124	0.2778870455
125	0.2770986543
126	0.2765837159
127	0.2759397334
128	0.2753271098
129	0.274812285
130	0.2741256056
131	0.272789688
132	0.2724221547
133	0.2717390748
134	0.2715413895
135	0.2706515243
136	0.2696603636
137	0.2694043296
138	0.2689204969
139	0.268414136
140	0.2678842599
141	0.2675675771
142	0.2671248814
143	0.2664292427
144	0.2658348939
145	0.2651723822
146	0.2645721956
147	0.2641316982
148	0.2634015221
149	0.2622201815
150	0.2614434859
151	0.26084199
152	0.2603828505
153	0.2598304236
154	0.2591716899
155	0.258583619
156	0.2568226725
157	0.2561559808
158	0.2554186949
159	0.2548442453
160	0.2544375652
161	0.2539049316
162	0.2531922425
163	0.2529455269
164	0.2521895573
165	0.2518466499
166	0.2512636051
167	0.2500252757
168	0.2493008626
169	0.2486594469
170	0.2479014112
171	0.2477521113
172	0.2469620617
173	0.246491636
174	0.2459978644
175	0.2455076717
176	0.2452967402
177	0.2451094516
178	0.2443593456
179	0.2437959349
180	0.2429866359
181	0.2426742896
182	0.2423358833
183	0.241689023
184	0.2407453317
185	0.2403833529
186	0.2399633812
187	0.2395702923
188	0.2387282895
189	0.2382873864
190	0.2375995932
191	0.2371604831
192	0.2367590214
193	0.2363653742
194	0.2354968373
195	0.2348100105
196	0.2338740304
197	0.2332754329
198	0.2322591853
199	0.2321288228
200	0.2314358766
201	0.2311093379
202	0.2302274553
203	0.2295103893
204	0.2290224266
205	0.2280660756
206	0.2268959577
207	0.226132938
208	0.2256507655
209	0.2251657889
210	0.2239946621
211	0.2238488064
212	0.223245519
213	0.2226144406
214	0.2221303231
215	0.2216833569
216	0.2214010562
217	0.2203680057
218	0.2195177482
219	0.218644252
220	0.2176993681
221	0.217054373
222	0.2164970762
223	0.2159409239
224	0.2154718912
225	0.2148539263
226	0.2142024642
227	0.213437334
228	0.2130526771
229	0.2125349564
230	0.2119425052
231	0.2115184181
232	0.2108946655
233	0.2104011977
234	0.2097595567
235	0.2090566241
236	0.2085243328
237	0.2078421503
238	0.2066575212
239	0.2057630705
240	0.2052958073
241	0.2050189843
242	0.2044130805
243	0.2038253419
244	0.20292605
245	0.2025663653
246	0.2019406332
247	0.2014805915
248	0.2006914933
249	0.2000410576
250	0.1992429711
251	0.1982748584
252	0.197716684
253	0.1971619032
254	0.1965099764
255	0.1961834981
256	0.1957395422
257	0.1947838261
258	0.1940430216
259	0.1932193018
260	0.1925509473
261	0.1919328662
262	0.1912573433
263	0.1907913443
264	0.1898189405
265	0.1892050014
266	0.188288069
267	0.1879029543
268	0.1872565465
269	0.186393255
270	0.1858953019
271	0.1852006179
272	0.1845780402
273	0.1840032989
274	0.1833131671
275	0.182428177
276	0.1818202522
277	0.1815097409
278	0.1808461274
279	0.1801048076
280	0.1794623161
281	0.1789628361
282	0.1785269553
283	0.1779029642
284	0.1770178454
285	0.1761275183
286	0.1753692233
287	0.1747853061
288	0.1744137837
289	0.1738998294
290	0.1733539288
291	0.1727318049
292	0.1721922977
293	0.1716408575
294	0.1711336057
295	0.1708191169
296	0.1701749167
297	0.1698932986
298	0.1693617538
299	0.1687831326
300	0.1681936187
301	0.1680064387
302	0.1676668604
303	0.1669648711
304	0.1665213446
305	0.1660182582
306	0.1653225298
307	0.1649695758
308	0.1643755994
309	0.1637256185
310	0.1631838617
311	0.1625472686
312	0.1620396313
313	0.1617449737
314	0.161206571
315	0.1607075294
316	0.1601072374
317	0.1596497361
318	0.1590875112
319	0.1585077052
320	0.1578821254
321	0.1576581531
322	0.1572208312
323	0.1565749341
324	0.1560501206
325	0.1554678414
326	0.1552494762
327	0.1548419034
