iter	Passed	Remaining
0	5	4814
1	11	4882
2	16	4740
3	23	5129
4	29	5132
5	34	4970
6	40	5050
7	45	4923
8	51	5020
9	57	4981
10	63	4970
11	69	5050
12	76	5063
13	81	5021
14	85	4940
15	90	4870
16	94	4795
17	98	4709
18	102	4627
19	106	4589
20	112	4572
21	117	4557
22	122	4549
23	127	4539
24	133	4554
25	139	4562
26	143	4508
27	146	4453
28	150	4403
29	154	4371
30	158	4327
31	162	4285
32	165	4243
33	170	4234
34	174	4200
35	178	4171
36	182	4137
37	186	4117
38	189	4084
39	193	4054
40	197	4026
41	202	4021
42	205	3997
43	209	3970
44	213	3947
45	217	3930
46	221	3907
47	224	3884
48	228	3864
49	232	3843
50	236	3840
51	240	3822
52	244	3802
53	247	3783
54	252	3775
55	255	3757
56	259	3741
57	263	3726
58	267	3708
59	271	3694
60	275	3688
61	279	3673
62	283	3663
63	286	3648
64	290	3634
65	294	3620
66	298	3615
67	302	3602
68	306	3591
69	309	3577
70	313	3566
71	317	3556
72	321	3546
73	325	3533
74	328	3521
75	333	3520
76	337	3509
77	341	3498
78	344	3487
79	348	3479
80	352	3470
81	356	3459
82	360	3448
83	364	3447
84	368	3438
85	372	3428
86	375	3417
87	380	3411
88	383	3402
89	387	3391
90	391	3382
91	395	3377
92	399	3371
93	403	3361
94	406	3351
95	410	3343
96	414	3336
97	418	3328
98	421	3319
99	425	3310
100	430	3309
101	433	3301
102	437	3293
103	441	3284
104	445	3280
105	449	3271
106	452	3263
107	456	3256
108	461	3254
109	464	3239
110	467	3231
111	471	3224
112	475	3216
113	479	3211
114	482	3203
115	486	3196
116	490	3188
117	494	3186
118	498	3179
119	502	3172
120	506	3165
121	510	3161
122	513	3154
123	517	3147
124	521	3141
125	525	3139
126	529	3133
127	533	3126
128	537	3119
129	541	3114
130	545	3107
131	548	3102
132	552	3095
133	556	3089
134	560	3086
135	564	3081
136	568	3074
137	572	3068
138	576	3064
139	579	3057
140	583	3050
141	587	3044
142	592	3044
143	596	3039
144	599	3032
145	603	3026
146	607	3023
147	611	3016
148	615	3010
149	619	3005
150	624	3004
151	627	2999
152	631	2992
153	635	2986
154	639	2983
155	643	2977
156	647	2971
157	650	2965
158	655	2962
159	659	2957
160	662	2951
161	666	2944
162	670	2940
163	674	2935
164	677	2929
165	681	2923
166	685	2918
167	689	2915
168	693	2910
169	697	2904
170	701	2898
171	705	2894
172	708	2888
173	712	2882
174	717	2881
175	722	2880
176	725	2874
177	729	2869
178	733	2863
179	737	2859
180	741	2853
181	744	2848
182	749	2848
183	755	2850
184	759	2846
185	763	2840
186	767	2835
187	771	2830
188	774	2824
189	778	2819
190	782	2813
191	787	2812
192	791	2807
193	794	2802
194	798	2797
195	802	2793
196	806	2788
197	810	2783
198	814	2778
199	819	2776
200	823	2772
201	826	2766
202	830	2761
203	835	2760
204	839	2757
205	843	2751
206	847	2747
207	853	2748
208	857	2743
209	861	2739
210	865	2736
211	870	2736
212	875	2733
213	879	2728
214	885	2729
215	888	2724
216	892	2719
217	896	2715
218	901	2711
219	904	2706
220	908	2701
221	912	2696
222	917	2694
223	921	2690
224	925	2685
225	929	2681
226	933	2678
227	937	2673
228	941	2668
229	945	2663
230	950	2661
231	954	2656
232	958	2652
233	961	2647
234	965	2642
235	970	2639
236	974	2635
237	978	2631
238	983	2628
239	987	2624
240	990	2618
241	994	2614
242	998	2610
243	1003	2608
244	1007	2603
245	1012	2600
246	1016	2597
247	1020	2592
248	1024	2587
249	1028	2584
250	1032	2579
251	1036	2574
252	1040	2571
253	1045	2569
254	1049	2564
255	1054	2561
256	1057	2556
257	1062	2552
258	1066	2549
259	1070	2544
260	1074	2539
261	1079	2536
262	1082	2532
263	1086	2527
264	1090	2522
265	1094	2518
266	1098	2513
267	1102	2509
268	1106	2504
269	1111	2502
270	1114	2497
271	1118	2492
272	1122	2487
273	1126	2484
274	1130	2478
275	1134	2474
276	1138	2470
277	1142	2466
278	1146	2462
279	1150	2457
280	1154	2452
281	1158	2448
282	1162	2443
283	1165	2438
284	1169	2434
285	1174	2431
286	1178	2426
287	1182	2422
288	1185	2417
289	1190	2412
290	1193	2407
291	1197	2403
292	1201	2398
293	1205	2395
294	1209	2390
295	1214	2387
296	1218	2383
297	1222	2378
298	1226	2374
299	1230	2370
300	1233	2365
301	1238	2362
302	1244	2362
303	1248	2357
304	1253	2354
305	1257	2349
306	1261	2345
307	1264	2340
308	1269	2337
309	1273	2333
310	1277	2328
311	1280	2323
312	1284	2319
313	1288	2314
314	1292	2310
315	1296	2305
316	1299	2300
317	1304	2297
318	1308	2292
319	1312	2288
320	1316	2283
321	1320	2279
322	1323	2274
323	1327	2270
324	1331	2265
325	1336	2263
326	1340	2258
327	1343	2253
328	1347	2248
329	1352	2245
330	1355	2240
331	1359	2236
332	1363	2231
333	1368	2228
334	1371	2223
335	1375	2219
336	1379	2214
337	1383	2210
338	1387	2206
339	1391	2201
340	1396	2198
341	1401	2196
342	1405	2192
343	1409	2188
344	1413	2183
345	1417	2179
346	1421	2174
347	1425	2170
348	1428	2165
349	1433	2162
350	1437	2158
351	1441	2153
352	1444	2148
353	1449	2145
354	1453	2140
355	1456	2136
356	1460	2131
357	1465	2128
358	1469	2124
359	1473	2119
360	1476	2115
361	1481	2111
362	1485	2107
363	1488	2102
364	1492	2097
365	1497	2094
366	1501	2091
367	1505	2086
368	1509	2082
369	1513	2078
370	1519	2076
371	1523	2072
372	1528	2069
373	1533	2066
374	1536	2061
375	1540	2057
376	1546	2054
377	1550	2051
378	1556	2049
379	1562	2047
380	1567	2045
381	1573	2042
382	1579	2041
383	1584	2038
384	1589	2034
385	1595	2033
386	1600	2030
387	1605	2028
388	1613	2028
389	1619	2026
390	1626	2026
391	1632	2024
392	1637	2021
393	1643	2019
394	1648	2016
395	1653	2012
396	1659	2011
397	1665	2009
398	1671	2006
399	1677	2005
400	1683	2002
401	1688	1999
402	1695	1998
403	1700	1995
404	1705	1992
405	1712	1990
406	1717	1987
407	1723	1985
408	1729	1982
409	1733	1979
410	1739	1976
411	1744	1973
412	1749	1969
413	1753	1965
414	1760	1964
415	1765	1961
416	1770	1957
417	1776	1954
418	1781	1951
419	1785	1947
420	1792	1946
421	1797	1942
422	1802	1938
423	1808	1936
424	1813	1933
425	1818	1929
426	1826	1929
427	1831	1925
428	1837	1922
429	1842	1919
430	1847	1915
431	1851	1911
432	1857	1908
433	1861	1904
434	1865	1899
435	1869	1895
436	1874	1891
437	1878	1886
438	1883	1883
439	1889	1881
440	1893	1876
441	1897	1872
442	1902	1868
443	1909	1866
444	1914	1862
445	1919	1859
446	1923	1854
447	1927	1850
448	1931	1845
449	1935	1841
450	1939	1836
451	1943	1831
452	1946	1826
453	1951	1822
454	1955	1818
455	1959	1813
456	1963	1808
457	1967	1804
458	1971	1799
459	1975	1794
460	1978	1789
461	1983	1786
462	1987	1781
463	1991	1776
464	1995	1771
465	1999	1767
466	2002	1762
467	2006	1757
468	2010	1753
469	2014	1748
470	2018	1744
471	2022	1739
472	2026	1735
473	2030	1730
474	2034	1725
475	2037	1721
476	2041	1716
477	2045	1711
478	2050	1707
479	2054	1703
480	2058	1698
481	2061	1694
482	2066	1689
483	2069	1684
484	2073	1680
485	2077	1675
486	2082	1671
487	2086	1667
488	2089	1662
489	2093	1657
490	2097	1653
491	2101	1648
492	2105	1644
493	2109	1639
494	2113	1635
495	2117	1631
496	2121	1626
497	2125	1621
498	2129	1617
499	2133	1612
500	2137	1608
501	2140	1603
502	2145	1599
503	2149	1594
504	2152	1590
505	2156	1585
506	2160	1581
507	2164	1576
508	2168	1571
509	2172	1567
510	2175	1562
511	2181	1559
512	2185	1554
513	2188	1550
514	2192	1545
515	2196	1541
516	2200	1536
517	2204	1531
518	2208	1527
519	2213	1523
520	2216	1519
521	2220	1514
522	2224	1509
523	2228	1505
524	2232	1500
525	2235	1496
526	2239	1491
527	2244	1487
528	2248	1483
529	2251	1478
530	2255	1473
531	2259	1469
532	2263	1465
533	2267	1460
534	2270	1455
535	2275	1451
536	2279	1447
537	2283	1442
538	2286	1438
539	2291	1434
540	2294	1429
541	2298	1424
542	2302	1420
543	2306	1416
544	2310	1411
545	2314	1407
546	2318	1402
547	2322	1398
548	2326	1394
549	2330	1389
550	2333	1385
551	2337	1380
552	2342	1376
553	2346	1372
554	2349	1367
555	2353	1363
556	2357	1358
557	2361	1354
558	2365	1349
559	2368	1345
560	2373	1341
561	2377	1336
562	2381	1332
563	2384	1327
564	2389	1323
565	2392	1319
566	2396	1314
567	2400	1310
568	2405	1306
569	2409	1301
570	2412	1297
571	2416	1292
572	2420	1288
573	2424	1284
574	2428	1279
575	2431	1275
576	2435	1270
577	2440	1266
578	2444	1262
579	2447	1257
580	2452	1253
581	2455	1248
582	2459	1244
583	2463	1239
584	2467	1235
585	2471	1231
586	2475	1227
587	2478	1222
588	2482	1218
589	2486	1213
590	2490	1209
591	2494	1204
592	2498	1200
593	2502	1196
594	2506	1192
595	2510	1187
596	2514	1183
597	2518	1179
598	2522	1174
599	2525	1170
600	2529	1165
601	2534	1161
602	2538	1157
603	2541	1153
604	2545	1148
605	2549	1144
606	2553	1140
607	2557	1135
608	2561	1131
609	2565	1127
610	2569	1122
611	2573	1118
612	2577	1114
613	2581	1109
614	2585	1105
615	2588	1101
616	2592	1096
617	2596	1092
618	2600	1088
619	2604	1083
620	2608	1079
621	2611	1074
622	2615	1070
623	2619	1066
624	2623	1061
625	2627	1057
626	2631	1053
627	2635	1049
628	2639	1044
629	2643	1040
630	2647	1036
631	2651	1031
632	2654	1027
633	2658	1023
634	2663	1019
635	2667	1014
636	2670	1010
637	2674	1006
638	2679	1002
639	2682	997
640	2686	993
641	2690	988
642	2694	984
643	2698	980
644	2702	976
645	2706	971
646	2710	967
647	2714	963
648	2718	959
649	2721	954
650	2725	950
651	2729	946
652	2733	941
653	2737	937
654	2741	933
655	2745	929
656	2749	924
657	2753	920
658	2756	916
659	2761	912
660	2765	907
661	2769	903
662	2772	899
663	2777	895
664	2780	890
665	2784	886
666	2788	882
667	2793	878
668	2796	873
669	2800	869
670	2804	865
671	2808	860
672	2812	856
673	2816	852
674	2819	848
675	2824	843
676	2828	839
677	2831	835
678	2835	831
679	2839	826
680	2843	822
681	2847	818
682	2850	813
683	2854	809
684	2858	805
685	2862	801
