iter	Logloss
0	0.683794842
1	0.6742877971
2	0.6646472075
3	0.6561065029
4	0.6480707689
5	0.6396046484
6	0.6332157975
7	0.6243541839
8	0.6159926761
9	0.6092851689
10	0.6007380735
11	0.5931841514
12	0.58623489
13	0.5773591966
14	0.5698821723
15	0.5627928436
16	0.5569368438
17	0.5517431918
18	0.5459948278
19	0.5390958324
20	0.533190231
21	0.5288679105
22	0.5242561557
23	0.5179904666
24	0.5115011459
25	0.5053289678
26	0.4995959379
27	0.4944164619
28	0.4894752699
29	0.4843512939
30	0.4791588056
31	0.4746731266
32	0.468513657
33	0.4644548362
34	0.459176976
35	0.4539523014
36	0.4504150841
37	0.4462027369
38	0.4423431823
39	0.437264634
40	0.4327647569
41	0.4279727582
42	0.4238004289
43	0.4202456197
44	0.4161655341
45	0.4122406076
46	0.4088609077
47	0.4057716248
48	0.4034785075
49	0.4009719219
50	0.396670757
51	0.3935574836
52	0.3907040306
53	0.3874040163
54	0.383423255
55	0.3812246709
56	0.3775679172
57	0.3741891566
58	0.3711790546
59	0.3682394635
60	0.3652301637
61	0.3628599011
62	0.3610565096
63	0.3583599074
64	0.3556512545
65	0.353041981
66	0.3521997861
67	0.3486053288
68	0.3459855958
69	0.3432076036
70	0.3398435426
71	0.336306803
72	0.3348676159
73	0.3318333962
74	0.3292540982
75	0.3273782832
76	0.3242917874
77	0.3216934926
78	0.3189745278
79	0.3176378642
80	0.3162729673
81	0.3144391733
82	0.3126186603
83	0.3105266174
84	0.3078954833
85	0.3060736939
86	0.304664917
87	0.303298812
88	0.3013980617
89	0.3004034474
90	0.2979466095
91	0.2963019317
92	0.2943089594
93	0.2925037913
94	0.2911063141
95	0.2899945604
96	0.2880264561
97	0.2866364609
98	0.2844230871
99	0.2834367695
100	0.2817804449
101	0.2803338133
102	0.2793283036
103	0.2780369915
104	0.2766267189
105	0.2746500185
106	0.2732331363
107	0.2715602683
108	0.2702271945
109	0.2689093907
110	0.2670708318
111	0.2654055428
112	0.2639857025
113	0.2627208726
114	0.2615718984
115	0.2605566036
116	0.2591100158
117	0.257872566
118	0.2562843116
119	0.2551261365
120	0.2540794206
121	0.2527382385
122	0.2515047429
123	0.2498631161
124	0.2484159643
125	0.2473945821
126	0.246360356
127	0.2447880925
128	0.2435490579
129	0.2426291276
130	0.2415796704
131	0.2402865207
132	0.2393626687
133	0.2378720772
134	0.2370481051
135	0.2359135028
136	0.234948079
137	0.2335748279
138	0.2328968452
139	0.2314960685
140	0.2306560503
141	0.2297635238
142	0.2289282375
143	0.2279287355
144	0.2270746511
145	0.2268843913
146	0.2256557755
147	0.2240692566
148	0.2230921781
149	0.2227488877
150	0.2214608158
151	0.2208131445
152	0.2203814178
153	0.219824717
154	0.2190975009
155	0.2183744876
156	0.2170401616
157	0.2163494713
158	0.2156546402
159	0.214620185
160	0.2134843629
161	0.2126677277
162	0.2119612294
163	0.2110662671
164	0.2101970634
165	0.2095238164
166	0.2087741461
167	0.2077576821
168	0.2066325322
169	0.2057519325
170	0.20468934
171	0.2040410432
172	0.2030784979
173	0.2025836184
174	0.2017570353
175	0.2011864779
176	0.2005439958
177	0.1997595446
178	0.1991750214
179	0.1981930621
180	0.1976549199
181	0.1968627868
182	0.196019839
183	0.1952451373
184	0.1947301603
185	0.1939749466
186	0.1932285498
187	0.1923784768
188	0.1918592341
189	0.1912074602
190	0.1907179481
191	0.1900802189
192	0.1895111425
193	0.1887317012
194	0.1879798812
195	0.1875474247
196	0.186964707
197	0.1862751598
198	0.1851303776
199	0.1844198679
200	0.1837583565
201	0.182975301
202	0.1823385151
203	0.1815900143
204	0.1811702692
205	0.1805284107
206	0.1798001003
207	0.1788138417
208	0.1780359756
209	0.1771671979
210	0.1765427597
211	0.1759444349
212	0.1754644581
213	0.1746169966
214	0.1737078797
215	0.1732961707
216	0.1730015032
217	0.1723490492
218	0.171867295
219	0.1715393857
220	0.1710843447
221	0.1707161799
222	0.1700786687
223	0.169407014
224	0.1689973767
225	0.1684090902
226	0.1674913693
227	0.1669561454
228	0.1662971754
229	0.1655915723
230	0.1651068611
231	0.1645585879
232	0.1640498459
233	0.1638028763
234	0.1633448714
235	0.1626409836
236	0.1621003257
237	0.1617547188
238	0.1614882316
239	0.1610608625
240	0.1605579404
241	0.1601317409
242	0.1597664123
243	0.1592665738
244	0.1588846755
245	0.1584847063
246	0.1580787066
247	0.1576220277
248	0.1574359162
249	0.1569126677
250	0.1563808025
251	0.1557941935
252	0.1549551679
253	0.1547662369
254	0.1544824384
255	0.1540963447
256	0.1533365019
257	0.1527662667
258	0.1524117789
259	0.1518217477
260	0.1513236281
261	0.1508158416
262	0.1504480512
263	0.1498900487
264	0.1492107701
265	0.1488901984
266	0.1481017998
267	0.1477317399
268	0.1471329038
269	0.1465767737
270	0.1461382844
271	0.1456374717
272	0.1452762355
273	0.1449842191
274	0.1447054959
275	0.1441539793
276	0.1436761104
277	0.143446487
278	0.1427724666
279	0.1425029891
280	0.1420522729
281	0.1417777387
282	0.1415028496
283	0.1411840725
284	0.1408536601
285	0.1404033296
286	0.1399953107
287	0.1398514123
288	0.1396843871
289	0.138988977
290	0.1387466524
291	0.1384759524
292	0.1381007968
293	0.1375106098
294	0.1372341309
295	0.136923528
296	0.1363719954
297	0.1358379636
298	0.1354389699
299	0.1353486957
300	0.1346960031
301	0.1343005373
302	0.1338987086
303	0.1333050501
304	0.1327556175
305	0.132360349
306	0.1320816235
307	0.1316872144
308	0.1314651899
309	0.1313454753
310	0.1311513582
311	0.1304365519
312	0.1301255641
313	0.1298484327
314	0.1294354094
315	0.1290908152
316	0.1287168763
317	0.1284584507
318	0.1280249505
319	0.1276977457
320	0.1273779491
321	0.1269631053
322	0.126654374
323	0.1262897543
324	0.1258700357
325	0.1255623825
326	0.1253374628
327	0.1249627501
328	0.1248302777
329	0.1242327163
330	0.1240175473
331	0.12363051
332	0.123022283
333	0.1227055458
334	0.122384749
335	0.1222192943
336	0.121725632
337	0.1212162179
338	0.1209602813
339	0.1206834604
340	0.1202174452
341	0.1199840169
342	0.1196546807
343	0.1195018946
344	0.119178112
345	0.1191070606
346	0.118798897
347	0.1183937538
348	0.1178958775
349	0.1176501549
350	0.117459874
351	0.1172066827
352	0.117133828
353	0.1168352346
354	0.1166526086
355	0.1164546935
356	0.1163025292
357	0.1159327342
358	0.1155927111
359	0.1153692468
360	0.1149475866
361	0.1147699265
362	0.1145393132
363	0.1140970955
364	0.1135782036
365	0.1132250896
366	0.1129353267
367	0.1125157343
368	0.1121170507
369	0.1118693243
370	0.1114503773
371	0.1110735991
372	0.1107954982
373	0.110448586
374	0.110184232
375	0.110010118
376	0.1097842125
377	0.1094661027
378	0.109174934
379	0.108788622
380	0.1084833687
381	0.1083249718
382	0.1078979448
383	0.107436774
384	0.1071660559
385	0.1070633708
386	0.1067725688
387	0.106585801
388	0.1063260943
389	0.1060657896
390	0.1058696759
391	0.1055677406
392	0.1052642935
393	0.1050481767
394	0.1048459454
395	0.1045571595
396	0.1041274157
397	0.1039279872
398	0.1037832232
399	0.1031181003
400	0.1029104183
401	0.1025014666
402	0.102313745
403	0.1021441621
404	0.1019261903
405	0.1014662538
406	0.1012680592
407	0.101120972
408	0.1008417943
409	0.1004926018
410	0.1002827672
411	0.100085214
412	0.09968358173
413	0.09946163181
414	0.09926102438
415	0.09912864656
416	0.09899192779
417	0.0986436374
418	0.09847245346
419	0.09834060214
420	0.09812843901
421	0.09793624792
422	0.09762493792
423	0.09736734181
424	0.09710466884
425	0.09677677424
426	0.0966127118
427	0.09647509803
428	0.09632421123
429	0.09596411537
430	0.09573771527
431	0.09550120223
432	0.09532320037
433	0.09508287833
434	0.09491637951
435	0.0947643521
436	0.09460486563
437	0.09427665998
438	0.09414289242
439	0.0939646089
440	0.09392840812
441	0.09362018628
442	0.09331227233
443	0.09304059223
444	0.09289998613
445	0.09282115331
446	0.09260934678
447	0.0923189082
448	0.09222061557
449	0.0920477507
450	0.09170343954
451	0.09129096382
452	0.09115261917
453	0.09100875522
454	0.09070354664
455	0.0905455315
456	0.09029831748
457	0.09003975072
458	0.08980391358
459	0.08959241486
460	0.08941216951
461	0.08923651935
462	0.08913109221
463	0.08891209813
464	0.08878331023
465	0.0886339518
466	0.08853683626
467	0.08833627743
468	0.08806802024
469	0.08785093423
470	0.08752334409
471	0.08737321642
472	0.08709457667
473	0.08702207178
474	0.08677657202
475	0.0864829728
476	0.08619513211
477	0.08592946458
478	0.08566466919
479	0.08541053434
480	0.08531013432
481	0.08516102575
482	0.08488466901
483	0.08479295661
484	0.08456558781
485	0.08425199531
486	0.08412226685
487	0.08396257004
488	0.08381718932
489	0.08351971007
490	0.08328872233
491	0.08314054624
492	0.08295523725
493	0.08282440429
494	0.08270621246
495	0.08254360102
496	0.08238085277
497	0.08224969661
498	0.08206310003
499	0.08190603005
500	0.08172247206
501	0.08143513058
502	0.08125417782
503	0.08110821599
504	0.08098714727
505	0.08078378839
506	0.08069389784
507	0.08051747305
508	0.08038950057
509	0.08016249806
510	0.08006061074
511	0.07969287334
512	0.07952815164
513	0.07936921465
514	0.07921689627
515	0.07894313968
516	0.07871303152
517	0.07854884931
518	0.07842917529
519	0.0783390706
520	0.07807985581
521	0.07799746878
522	0.07782432899
523	0.07768753401
524	0.07741113341
525	0.0773353219
526	0.07713352762
527	0.07704562486
528	0.07688046293
529	0.07673909817
530	0.07640377273
531	0.0762460373
532	0.07614435386
533	0.07603531258
534	0.07595742939
535	0.07595401612
536	0.07578099247
537	0.07560307153
538	0.07537516651
539	0.07511570901
540	0.07495709953
541	0.07479815586
542	0.07447098425
543	0.07431854622
544	0.07419880181
545	0.07400756416
546	0.07372733641
547	0.07358742648
548	0.07349788955
549	0.07333679125
550	0.07318543808
551	0.07292509893
552	0.0727256891
553	0.07255982478
554	0.0722790143
555	0.07217370617
556	0.07206402217
557	0.0719333888
558	0.07166916743
559	0.07162710116
560	0.07140803064
561	0.07119660326
562	0.07107541957
563	0.07095354122
