iter	Passed	Remaining
0	65	65035
1	66	33373
2	68	22784
3	70	17525
4	72	14361
5	73	12236
6	75	10677
7	77	9551
8	79	8713
9	81	8036
10	82	7459
11	84	6973
12	86	6562
13	88	6205
14	89	5902
15	91	5631
16	93	5396
17	95	5203
18	97	5011
19	98	4842
20	100	4684
21	101	4516
22	103	4388
23	105	4273
24	106	4164
25	108	4064
26	110	3979
27	112	3902
28	114	3821
29	115	3746
30	117	3675
31	119	3611
32	121	3549
33	122	3490
34	124	3433
35	126	3387
36	128	3338
37	129	3289
38	131	3243
39	133	3199
40	134	3157
41	136	3116
42	138	3077
43	139	3041
44	141	3008
45	143	2980
46	145	2949
47	147	2918
48	148	2889
49	150	2860
50	152	2832
51	153	2806
52	155	2779
53	157	2755
54	159	2734
55	160	2710
56	162	2689
57	164	2670
58	166	2652
59	168	2640
60	170	2627
61	172	2615
62	175	2613
63	178	2607
64	180	2600
65	183	2592
66	184	2570
67	186	2556
68	188	2549
69	191	2543
70	193	2535
71	196	2526
72	197	2512
73	200	2503
74	202	2495
75	204	2486
76	207	2490
77	209	2478
78	211	2467
79	213	2459
80	215	2448
81	217	2435
82	219	2428
83	222	2426
84	224	2415
85	226	2403
86	227	2391
87	229	2378
88	231	2366
89	232	2354
90	234	2343
91	236	2333
92	238	2327
93	240	2317
94	242	2306
95	243	2295
96	245	2284
97	247	2274
98	248	2264
99	250	2253
100	252	2246
101	254	2238
102	255	2228
103	257	2219
104	259	2212
105	261	2202
106	262	2193
107	264	2184
108	266	2176
109	268	2168
110	270	2165
111	272	2157
112	273	2149
113	275	2140
114	277	2132
115	278	2124
116	280	2116
117	282	2108
118	283	2102
119	285	2096
120	287	2088
121	289	2081
122	290	2074
123	292	2067
124	294	2060
125	295	2053
126	297	2046
127	299	2039
128	301	2036
129	303	2030
130	305	2023
131	306	2017
132	308	2010
133	310	2003
134	311	1997
135	313	1990
136	315	1984
137	316	1979
138	318	1973
139	320	1966
140	321	1960
141	323	1954
142	325	1948
143	326	1942
144	328	1937
145	329	1927
146	331	1922
147	333	1920
148	335	1915
149	336	1907
150	338	1902
151	339	1896
152	341	1891
153	343	1886
154	344	1880
155	346	1875
156	348	1870
157	350	1866
158	352	1861
159	353	1856
160	355	1851
161	357	1848
162	358	1843
163	360	1838
164	362	1833
165	364	1829
166	366	1828
167	368	1823
168	369	1819
169	371	1815
170	373	1813
171	375	1808
172	377	1804
173	379	1799
174	380	1795
175	382	1791
176	384	1787
177	385	1782
178	387	1778
179	389	1773
180	390	1769
181	392	1764
182	394	1760
183	396	1757
184	398	1755
185	400	1750
186	401	1747
187	403	1742
188	405	1738
189	406	1734
190	408	1730
191	410	1725
192	411	1722
193	414	1720
194	416	1718
195	418	1716
196	420	1713
197	422	1710
198	424	1707
199	425	1703
200	427	1700
201	430	1700
202	432	1697
203	434	1694
204	436	1691
205	437	1687
206	439	1683
207	441	1679
208	442	1675
209	444	1673
210	446	1669
211	448	1665
212	449	1661
213	451	1657
214	453	1654
215	454	1650
216	456	1646
217	457	1642
218	460	1640
219	461	1637
220	463	1634
221	465	1630
222	467	1627
223	468	1623
224	470	1620
225	472	1616
226	473	1612
227	475	1611
228	477	1607
229	479	1604
230	480	1600
231	482	1597
232	484	1593
233	485	1590
234	487	1586
235	489	1583
236	490	1580
237	493	1578
238	494	1575
239	496	1572
240	498	1569
241	499	1565
242	501	1562
243	503	1559
244	505	1556
245	507	1554
246	508	1551
247	510	1548
248	511	1543
249	513	1540
250	515	1536
251	516	1533
252	518	1531
253	520	1529
254	522	1526
255	525	1526
256	527	1525
257	529	1522
258	531	1520
259	533	1518
260	536	1518
261	539	1518
262	541	1516
263	543	1515
264	546	1514
265	548	1512
266	550	1510
267	552	1508
268	554	1506
269	557	1506
270	559	1505
271	561	1503
272	563	1501
273	565	1498
274	567	1496
275	569	1494
276	571	1492
277	574	1490
278	576	1488
279	577	1485
280	580	1484
281	582	1482
282	584	1481
283	587	1481
284	590	1480
285	592	1479
286	594	1477
287	597	1476
288	599	1475
289	602	1474
290	604	1473
291	607	1472
292	609	1471
293	612	1469
294	614	1468
295	616	1466
296	619	1466
297	621	1464
298	623	1462
299	626	1460
300	628	1460
301	630	1457
302	632	1455
303	634	1453
304	636	1450
305	638	1448
306	640	1445
307	642	1442
308	643	1439
309	644	1435
310	646	1432
311	648	1430
312	652	1432
313	656	1433
314	659	1433
315	661	1432
316	664	1431
317	667	1431
318	670	1432
319	673	1431
320	676	1432
321	680	1432
322	683	1432
323	687	1434
324	689	1432
325	692	1431
326	694	1429
327	697	1428
328	700	1428
329	704	1429
