,0,1
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,1
6,0,0
7,0,0
8,0,0
9,0,0
10,0,1
11,0,0
12,1,1
13,0,0
14,0,0
15,1,1
16,0,1
17,0,0
18,0,1
19,1,1
20,0,0
21,0,1
22,0,1
23,1,1
24,1,1
25,0,0
26,0,1
27,1,0
28,0,0
29,0,0
30,0,0
31,0,1
32,0,0
33,0,0
34,1,1
35,0,0
36,0,1
37,0,1
38,0,1
39,1,0
40,1,1
41,1,1
42,0,0
43,0,0
44,0,1
45,0,1
46,0,1
47,0,0
48,1,1
49,0,0
50,0,1
51,0,0
52,1,1
53,0,0
54,0,0
55,0,0
56,0,1
57,1,1
58,1,0
59,1,0
60,1,1
61,1,1
62,0,0
63,0,1
64,1,1
65,1,0
66,0,1
67,0,0
68,1,1
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,1,1
76,1,1
77,0,0
78,0,1
79,0,1
80,1,0
81,1,0
82,0,0
83,1,1
84,1,1
85,1,1
86,1,1
87,0,0
88,0,0
89,0,0
90,1,1
91,0,1
92,0,0
93,0,0
94,1,1
95,0,1
96,0,1
97,0,0
98,0,0
99,0,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,1
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,1,1
119,1,1
120,1,1
121,0,0
122,0,0
123,1,1
124,0,0
125,0,1
126,0,1
127,0,1
128,1,1
129,0,1
130,0,1
131,1,1
132,0,1
133,1,1
134,1,1
135,0,0
136,0,1
137,0,1
138,1,1
139,1,1
140,0,0
141,0,0
142,0,0
143,1,1
144,0,1
145,0,0
146,1,1
147,0,0
148,0,1
149,1,1
150,0,0
151,1,0
152,0,0
153,1,1
154,0,0
155,1,1
156,0,1
157,1,1
158,0,1
159,1,1
160,0,0
161,0,1
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,1
168,0,1
169,0,1
170,0,1
171,0,0
172,0,1
173,1,1
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,1
182,0,0
183,1,1
184,1,1
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,1,1
191,1,1
192,0,1
193,1,1
194,0,0
195,0,1
196,0,0
197,0,1
198,1,1
199,0,0
200,0,1
201,1,1
202,0,1
203,1,1
204,1,1
205,1,1
206,0,0
207,1,1
208,1,1
209,0,0
210,0,1
211,0,0
212,0,0
213,0,1
214,1,1
215,1,1
216,0,0
217,1,1
218,0,0
219,0,0
220,1,0
221,0,0
222,0,1
223,1,1
224,0,1
225,0,1
226,1,0
227,1,1
228,1,1
229,0,0
230,0,0
231,1,1
232,0,0
233,1,1
234,0,1
235,1,1
236,1,0
237,1,0
238,0,0
239,0,0
240,1,1
241,1,0
242,1,1
243,0,0
244,0,1
245,1,1
246,1,0
247,0,0
248,1,1
249,1,1
