iter	Logloss
0	0.6565972432
1	0.6258931022
2	0.600426058
3	0.5805390088
4	0.564377922
5	0.5500022494
6	0.5381389423
7	0.5283792767
8	0.5205418627
9	0.5133949222
10	0.5064540564
11	0.5013648047
12	0.4960639678
13	0.4917957504
14	0.4888660874
15	0.4853600473
16	0.4828477099
17	0.4804271188
18	0.4782060287
19	0.4758088332
20	0.4742813292
21	0.4729181181
22	0.471169954
23	0.4696816821
24	0.4685543835
25	0.4676762216
26	0.4661780428
27	0.4651610376
28	0.4638897859
29	0.4628120413
30	0.4625861238
31	0.4614803836
32	0.4609904781
33	0.4600497715
34	0.4591308107
35	0.4581069448
36	0.4574560037
37	0.4569632835
38	0.4561405865
39	0.4551575175
40	0.4544881866
41	0.4532518297
42	0.4524842312
43	0.4520347896
44	0.4511051297
45	0.4504909709
46	0.4497310044
47	0.4492584022
48	0.4487711637
49	0.4480718146
50	0.4476884316
51	0.4468288698
52	0.4459845743
53	0.4453586332
54	0.4447403954
55	0.4441176689
56	0.4435899478
57	0.4426663858
58	0.4419929197
59	0.4414668308
60	0.4406743267
61	0.4399616495
62	0.4394162732
63	0.4388731697
64	0.4385468125
65	0.4378391354
66	0.4372262022
67	0.4366466328
68	0.4363187367
69	0.4357072464
70	0.4350759258
71	0.4343533116
72	0.4336922653
73	0.4330208676
74	0.4324758264
75	0.4319054322
76	0.4314953956
77	0.4310441272
78	0.4306221391
79	0.4298409186
80	0.4294660853
81	0.4287819946
82	0.4281418705
83	0.4274618098
84	0.4269454269
85	0.4264726213
86	0.4260631804
87	0.4254690799
88	0.4249369443
89	0.4241525609
90	0.4238516865
91	0.4231727912
92	0.4224770507
93	0.4219152365
94	0.4214645493
95	0.4207321333
96	0.4202728627
97	0.4196187324
98	0.419309069
99	0.4188918779
100	0.4186859041
101	0.4180235746
102	0.4176029225
103	0.4172153762
104	0.4166476855
105	0.4162246611
106	0.4158923142
107	0.4153554068
108	0.4148628675
109	0.414407456
110	0.413725329
111	0.4131295657
112	0.4127747229
113	0.4120705973
114	0.4114514569
115	0.4109008249
116	0.4100426865
117	0.409634646
118	0.409125926
119	0.4085131434
120	0.4078981689
121	0.4071911814
122	0.4068148243
123	0.4063450916
124	0.4058691345
125	0.4054112724
126	0.4047757008
127	0.4040985191
128	0.4037281688
129	0.4031674941
130	0.402305597
131	0.4018482781
132	0.401527587
133	0.4009593162
134	0.4003346963
135	0.3999277791
136	0.39922621
137	0.3985881804
138	0.3979549006
139	0.3974127463
140	0.3966838572
141	0.3961895811
142	0.3955211276
143	0.3952133077
144	0.394496999
145	0.3935097343
146	0.3931290823
147	0.3924233559
148	0.3920753613
149	0.3915819092
150	0.3912014873
151	0.3907570951
152	0.3901473468
153	0.3896643929
154	0.38904477
155	0.3881911816
156	0.3877604576
157	0.3872586412
158	0.3868636554
159	0.3862928426
160	0.3856676588
161	0.3850126301
162	0.3845341831
163	0.3839857354
164	0.3835410644
165	0.3830905917
166	0.3828171842
167	0.3823514487
168	0.3820582348
169	0.3815885342
170	0.3812301456
171	0.3807024182
172	0.3801155537
173	0.3795968892
174	0.379082408
175	0.3784571236
176	0.3777452404
177	0.3773580079
178	0.3769206131
179	0.3765946308
180	0.3762097607
181	0.3755813948
182	0.3751669368
183	0.3748317216
184	0.374243643
185	0.3735733282
186	0.3732730707
187	0.3728054578
188	0.3723187944
189	0.3719164032
190	0.3712225882
191	0.3708045637
192	0.3701090962
193	0.3696346934
194	0.3691957518
195	0.36879823
196	0.368350377
197	0.3680318219
198	0.3677803288
199	0.3672217789
200	0.3668252009
201	0.3663716927
202	0.365841451
203	0.3654727001
204	0.3648835303
205	0.3642009577
206	0.3637377052
207	0.3632952268
208	0.3626054159
209	0.3622329022
210	0.3619810738
211	0.361670745
212	0.3611455806
213	0.3608215119
214	0.3601716478
215	0.3597854236
216	0.3593533878
217	0.358905399
218	0.3586557826
219	0.358356948
220	0.3580656651
221	0.3575362776
222	0.3569908163
223	0.3566697441
224	0.356254176
225	0.3559921197
226	0.3556330574
227	0.3547703808
228	0.3543577558
229	0.3540005701
230	0.3538370348
231	0.3534900495
232	0.3531386072
233	0.3527452137
234	0.3523040099
235	0.3520961635
236	0.3516343159
237	0.3513775788
238	0.3505783563
239	0.3500391294
240	0.3495049025
241	0.3490764216
242	0.3488108682
243	0.3483467012
244	0.3477213549
245	0.3472810102
246	0.3466962086
247	0.3464169914
248	0.3462176679
249	0.3457408281
250	0.3453124326
251	0.3447521417
252	0.3444005179
253	0.3439976988
254	0.3435106063
255	0.3430238354
256	0.3427358649
257	0.3423666253
258	0.3420703932
259	0.341582097
260	0.3411805719
261	0.3409374848
262	0.3404468466
263	0.3399888149
264	0.3397014729
265	0.3393578799
266	0.3389811728
267	0.3386956725
268	0.3382608149
269	0.337918795
270	0.3374425846
271	0.3372748317
272	0.3369237955
273	0.3361314788
274	0.3355806729
275	0.335068554
276	0.3347645358
277	0.3343857312
278	0.3339920566
279	0.3337965326
280	0.3335385831
281	0.3332473457
282	0.3327941445
283	0.3325418311
284	0.3322096341
285	0.331650051
286	0.3313612727
287	0.3311762589
288	0.3307587532
289	0.3303546278
290	0.3300907435
291	0.3296960038
292	0.3294356342
293	0.3290170182
294	0.3285739797
295	0.3283402353
296	0.327973031
297	0.3275520538
298	0.3274074939
299	0.3269767756
