iter	Passed	Remaining
0	8	2532
1	14	2174
2	20	2065
3	26	1980
4	32	1916
5	39	1933
6	45	1894
7	51	1865
8	58	1881
9	63	1852
10	70	1847
11	76	1831
12	83	1849
13	90	1841
14	96	1835
15	105	1866
16	112	1872
17	120	1882
18	127	1884
19	135	1902
20	143	1912
21	152	1924
22	158	1904
23	163	1885
24	170	1880
25	176	1863
26	182	1847
27	188	1834
28	194	1818
29	201	1810
30	205	1781
31	211	1769
32	217	1758
33	222	1744
34	228	1731
35	235	1724
36	240	1713
37	246	1701
38	253	1696
39	259	1686
40	265	1676
41	271	1669
42	277	1660
43	284	1652
44	289	1642
45	295	1631
46	302	1627
47	308	1617
48	314	1610
49	320	1601
50	326	1594
51	333	1591
52	341	1590
53	349	1591
54	356	1588
55	364	1588
56	371	1584
57	379	1581
58	385	1575
59	391	1567
60	399	1564
61	405	1554
62	410	1544
63	418	1544
64	424	1535
65	431	1530
66	437	1522
67	443	1512
68	449	1505
69	455	1496
70	461	1490
71	467	1481
72	473	1472
73	479	1465
74	485	1457
75	491	1449
76	499	1445
77	504	1436
78	510	1429
79	517	1421
80	524	1416
81	534	1420
82	542	1417
83	549	1413
84	555	1406
85	564	1403
86	569	1395
87	576	1388
88	582	1381
89	588	1373
90	595	1368
91	601	1360
92	608	1353
93	613	1345
94	619	1337
95	626	1330
96	632	1323
97	638	1315
98	644	1308
99	650	1300
100	656	1293
101	662	1286
102	668	1278
103	674	1271
104	680	1263
105	686	1255
106	693	1250
107	698	1242
108	704	1234
109	710	1227
110	716	1219
111	722	1213
112	728	1205
113	736	1201
114	743	1196
115	749	1189
116	756	1183
117	762	1175
118	768	1168
119	774	1161
120	780	1154
121	786	1147
122	792	1140
123	798	1133
124	804	1126
125	810	1119
126	816	1111
127	823	1106
128	829	1099
129	835	1092
130	842	1087
131	849	1080
132	857	1076
133	865	1071
134	874	1069
135	888	1070
136	896	1066
137	905	1062
138	911	1056
139	920	1051
140	928	1046
141	935	1040
142	941	1034
143	948	1027
144	956	1022
145	963	1016
146	971	1010
147	978	1004
148	986	999
149	994	994
150	1001	988
151	1008	981
152	1015	976
153	1023	970
154	1033	966
155	1041	960
156	1047	953
157	1054	947
158	1060	940
159	1066	932
160	1072	926
161	1078	918
162	1086	912
163	1091	905
164	1098	898
165	1103	891
166	1109	883
167	1116	877
168	1122	870
169	1128	863
170	1135	856
171	1141	849
172	1150	844
173	1156	837
174	1163	830
175	1169	823
176	1174	816
177	1183	810
178	1189	803
179	1195	796
180	1201	789
181	1207	782
182	1215	777
183	1221	769
184	1227	762
185	1233	755
186	1238	748
187	1245	742
188	1251	734
189	1257	727
190	1264	721
191	1270	714
192	1276	707
193	1282	700
194	1288	693
195	1295	687
196	1301	680
197	1307	673
198	1313	666
199	1321	660
200	1328	654
201	1333	647
202	1339	640
203	1346	633
204	1352	626
205	1358	619
206	1364	613
207	1370	606
208	1377	599
209	1384	593
210	1392	587
211	1399	581
212	1407	574
213	1414	568
214	1420	561
215	1426	554
216	1432	547
217	1438	541
218	1445	534
219	1450	527
220	1457	520
221	1463	514
222	1468	507
223	1476	500
224	1482	494
225	1488	487
226	1494	480
227	1500	473
228	1507	467
229	1513	460
230	1519	453
231	1525	447
232	1531	440
233	1538	433
234	1544	427
235	1549	420
236	1556	413
237	1562	407
238	1568	400
239	1576	394
240	1582	387
241	1592	381
242	1599	375
243	1608	369
244	1619	363
245	1630	357
246	1642	352
247	1655	347
248	1664	340
249	1674	334
250	1684	328
251	1694	322
252	1704	316
253	1716	310
254	1727	304
255	1739	298
256	1748	292
257	1757	286
258	1771	280
259	1783	274
260	1791	267
261	1802	261
262	1811	254
263	1822	248
264	1831	241
265	1840	235
266	1850	228
267	1860	222
268	1870	215
269	1880	208
270	1888	202
271	1897	195
272	1909	188
273	1925	182
274	1939	176
275	1949	169
276	1958	162
277	1969	155
278	1979	149
279	1990	142
280	2000	135
281	2010	128
282	2022	121
283	2034	114
284	2042	107
285	2051	100
286	2060	93
287	2069	86
288	2079	79
289	2089	72
290	2100	64
291	2110	57
292	2120	50
293	2131	43
294	2140	36
295	2148	29
296	2159	21
297	2168	14
298	2179	7
299	2189	0
